Model Name,Provider,Dataset,Use Case Score
Kimi K2 Thinking,Moonshot AI,Moonshot AI training dataset,63.79%
MiniMax-M2,MiniMax,MiniMax training dataset,61.62%
gpt-oss-120B (high),OpenAI,OpenAI training dataset,61.17%
DeepSeek V3.1 Terminus (Reasoning),DeepSeek,DeepSeek training dataset,57.18%
Qwen3 Next 80B A3B (Reasoning),Alibaba,Alibaba training dataset,56.45%
DeepSeek V3.2 Exp (Reasoning),DeepSeek,DeepSeek training dataset,55.73%
gpt-oss-20B (high),OpenAI,OpenAI training dataset,55.05%
Qwen3 VL 235B A22B (Reasoning),Alibaba,Alibaba training dataset,55.04%
Qwen3 VL 32B (Reasoning),Alibaba,Alibaba training dataset,55.04%
Apriel-v1.5-15B-Thinker,ServiceNow,ServiceNow training dataset,54.93%
Doubao Seed Code,ByteDance Seed,ByteDance Seed training dataset,54.84%
Qwen3 235B A22B 2507 (Reasoning),Alibaba,Alibaba training dataset,54.84%
Qwen3 Max Thinking,Alibaba,Alibaba training dataset,54.32%
gpt-oss-120B (low),OpenAI,OpenAI training dataset,51.82%
Cogito v2.1 (Reasoning),Deep Cogito,Deep Cogito training dataset,51.62%
Qwen3 Max,Alibaba,Alibaba training dataset,51.15%
GLM-4.6 (Reasoning),Z AI,Z AI training dataset,51.12%
Qwen3 30B A3B 2507 (Reasoning),Alibaba,Alibaba training dataset,50.82%
DeepSeek V3.1 (Reasoning),DeepSeek,DeepSeek training dataset,50.76%
GLM-4.5 (Reasoning),Z AI,Z AI training dataset,50.62%
DeepSeek R1 0528 (May '25),DeepSeek,DeepSeek training dataset,50.11%
Qwen3 235B A22B 2507 Instruct,Alibaba,Alibaba training dataset,49.89%
gpt-oss-20B (low),OpenAI,OpenAI training dataset,49.44%
Magistral Medium 1.2,Mistral,Mistral training dataset,49.22%
DeepSeek V3.2 Exp (Non-reasoning),DeepSeek,DeepSeek training dataset,48.83%
Seed-OSS-36B-Instruct,ByteDance Seed,ByteDance Seed training dataset,48.67%
Qwen3 VL 30B A3B (Reasoning),Alibaba,Alibaba training dataset,48.53%
Ring-1T,InclusionAI,InclusionAI training dataset,48.10%
DeepSeek V3.1 Terminus (Non-reasoning),DeepSeek,DeepSeek training dataset,48.03%
Kimi K2 0905,Moonshot AI,Moonshot AI training dataset,47.99%
Kimi K2,Moonshot AI,Moonshot AI training dataset,47.86%
MiniMax M1 80k,MiniMax,MiniMax training dataset,47.68%
Qwen3 VL 235B A22B Instruct,Alibaba,Alibaba training dataset,47.51%
Qwen3 4B 2507 (Reasoning),Alibaba,Alibaba training dataset,47.41%
DeepSeek R1 (Jan '25),DeepSeek,DeepSeek training dataset,47.40%
Qwen3 235B A22B (Reasoning),Alibaba,Alibaba training dataset,46.98%
Ring-flash-2.0,InclusionAI,InclusionAI training dataset,46.65%
Qwen3 Next 80B A3B Instruct,Alibaba,Alibaba training dataset,46.65%
Qwen3 Omni 30B A3B (Reasoning),Alibaba,Alibaba training dataset,46.41%
GLM-4.5-Air,Z AI,Z AI training dataset,46.29%
Magistral Small 1.2,Mistral,Mistral training dataset,46.25%
DeepSeek V3.1 (Non-reasoning),DeepSeek,DeepSeek training dataset,46.20%
MiniMax M1 40k,MiniMax,MiniMax training dataset,46.16%
DeepSeek V3 0324,DeepSeek,DeepSeek training dataset,46.16%
EXAONE 4.0 32B (Reasoning),LG AI Research,LG AI Research training dataset,45.74%
Llama 4 Maverick,Meta,Meta training dataset,45.65%
Llama 3.1 Nemotron Ultra 253B v1 (Reasoning),NVIDIA,NVIDIA training dataset,45.52%
Llama Nemotron Super 49B v1.5 (Reasoning),NVIDIA,NVIDIA training dataset,45.51%
Qwen3 Coder 480B A35B Instruct,Alibaba,Alibaba training dataset,45.04%
Ling-1T,InclusionAI,InclusionAI training dataset,45.00%
Qwen3 VL 32B Instruct,Alibaba,Alibaba training dataset,44.86%
Qwen3 30B A3B (Reasoning),Alibaba,Alibaba training dataset,44.66%
Hermes 4 - Llama-3.1 405B (Reasoning),Nous Research,Nous Research training dataset,44.62%
Solar Pro 2 (Reasoning),Upstage,Upstage training dataset,44.19%
GLM-4.6 (Non-reasoning),Z AI,Z AI training dataset,44.11%
Qwen3 32B (Reasoning),Alibaba,Alibaba training dataset,44.11%
QwQ 32B,Alibaba,Alibaba training dataset,43.83%
Qwen3 14B (Reasoning),Alibaba,Alibaba training dataset,43.66%
Qwen2.5 Max,Alibaba,Alibaba training dataset,43.64%
Llama 3.3 Nemotron Super 49B v1 (Reasoning),NVIDIA,NVIDIA training dataset,43.51%
Llama 3.3 Instruct 70B,Meta,Meta training dataset,42.86%
Hermes 4 - Llama-3.1 70B (Reasoning),Nous Research,Nous Research training dataset,42.74%
ERNIE 4.5 300B A47B,Baidu,Baidu training dataset,42.60%
Ling-flash-2.0,InclusionAI,InclusionAI training dataset,42.36%
GLM-4.5V (Reasoning),Z AI,Z AI training dataset,42.34%
Qwen3 VL 8B (Reasoning),Alibaba,Alibaba training dataset,41.91%
Qwen3 30B A3B 2507 Instruct,Alibaba,Alibaba training dataset,41.81%
Qwen3 VL 30B A3B Instruct,Alibaba,Alibaba training dataset,41.56%
Llama 4 Scout,Meta,Meta training dataset,41.46%
Qwen3 235B A22B (Non-reasoning),Alibaba,Alibaba training dataset,41.10%
Llama 3.1 Instruct 405B,Meta,Meta training dataset,40.67%
Mistral Medium 3.1,Mistral,Mistral training dataset,40.61%
DeepSeek V3 (Dec '24),DeepSeek,DeepSeek training dataset,40.34%
EXAONE 4.0 32B (Non-reasoning),LG AI Research,LG AI Research training dataset,40.29%
Command-R (Aug '24),Cohere,Cohere training dataset,40.20%
Command-R (Mar '24),Cohere,Cohere training dataset,40.15%
Llama 3.1 Tulu3 405B,Allen Institute for AI,Allen Institute for AI training dataset,39.98%
Hermes 4 - Llama-3.1 405B (Non-reasoning),Nous Research,Nous Research training dataset,39.78%
Jamba Reasoning 3B,AI21 Labs,AI21 Labs training dataset,39.71%
Qwen2.5 Instruct 72B,Alibaba,Alibaba training dataset,39.70%
Grok 2 (Dec '24),xAI,xAI training dataset,39.59%
Solar Pro 2 (Non-reasoning),Upstage,Upstage training dataset,39.59%
Llama 3.3 Nemotron Super 49B v1 (Non-reasoning),NVIDIA,NVIDIA training dataset,39.35%
MiniMax-Text-01,MiniMax,MiniMax training dataset,39.30%
DeepSeek R1 Distill Llama 70B,DeepSeek,DeepSeek training dataset,39.22%
Qwen3 8B (Reasoning),Alibaba,Alibaba training dataset,39.10%
Command A,Cohere,Cohere training dataset,39.09%
Qwen3 VL 4B (Reasoning),Alibaba,Alibaba training dataset,38.78%
Qwen2.5 Instruct 32B,Alibaba,Alibaba training dataset,38.62%
Qwen3 Coder 30B A3B Instruct,Alibaba,Alibaba training dataset,38.44%
NVIDIA Nemotron Nano 9B V2 (Reasoning),NVIDIA,NVIDIA training dataset,38.42%
Qwen3 Omni 30B A3B Instruct,Alibaba,Alibaba training dataset,38.22%
NVIDIA Nemotron Nano 9B V2 (Non-reasoning),NVIDIA,NVIDIA training dataset,37.87%
Qwen3 32B (Non-reasoning),Alibaba,Alibaba training dataset,37.66%
Pixtral Large,Mistral,Mistral training dataset,37.57%
Qwen3 4B 2507 Instruct,Alibaba,Alibaba training dataset,37.39%
Mistral Small 3.2,Mistral,Mistral training dataset,37.38%
Qwen3 30B A3B (Non-reasoning),Alibaba,Alibaba training dataset,37.36%
GLM-4.5V (Non-reasoning),Z AI,Z AI training dataset,37.16%
Llama Nemotron Super 49B v1.5 (Non-reasoning),NVIDIA,NVIDIA training dataset,37.12%
Qwen3 4B (Reasoning),Alibaba,Alibaba training dataset,37.12%
Llama 3.2 Instruct 90B (Vision),Meta,Meta training dataset,36.84%
Mistral Large 2 (Nov '24),Mistral,Mistral training dataset,36.65%
Llama 3.1 Instruct 70B,Meta,Meta training dataset,36.63%
Qwen3 VL 8B Instruct,Alibaba,Alibaba training dataset,36.53%
DeepSeek R1 Distill Qwen 32B,DeepSeek,DeepSeek training dataset,36.19%
Llama 3.1 Nemotron Instruct 70B,NVIDIA,NVIDIA training dataset,35.91%
Mistral 7B Instruct,Mistral,Mistral training dataset,35.71%
Reka Flash 3,Reka AI,Reka AI training dataset,35.62%
Devstral Small (Jul '25),Mistral,Mistral training dataset,35.59%
Mistral Large 2 (Jul '24),Mistral,Mistral training dataset,35.53%
Qwen2.5 Coder Instruct 32B,Alibaba,Alibaba training dataset,35.51%
Gemma 3 27B Instruct,Google,Google training dataset,35.46%
DeepSeek R1 Distill Qwen 14B,DeepSeek,DeepSeek training dataset,35.27%
Mistral Small 3.1,Mistral,Mistral training dataset,34.93%
Devstral Small (May '25),Mistral,Mistral training dataset,34.92%
Qwen2.5 Turbo,Alibaba,Alibaba training dataset,34.92%
DeepSeek R1 0528 Qwen3 8B,DeepSeek,DeepSeek training dataset,34.91%
Gemma 3 12B Instruct,Google,Google training dataset,34.72%
Qwen3 VL 4B Instruct,Alibaba,Alibaba training dataset,34.67%
Codestral-Mamba,Mistral,Mistral training dataset,34.38%
Hermes 4 - Llama-3.1 70B (Non-reasoning),Nous Research,Nous Research training dataset,34.36%
Granite 4.0 H Small,IBM,IBM training dataset,33.89%
Phi-4,Microsoft Azure,Microsoft Azure training dataset,33.87%
Qwen3 14B (Non-reasoning),Alibaba,Alibaba training dataset,33.84%
Ling-mini-2.0,InclusionAI,InclusionAI training dataset,33.56%
Jamba 1.7 Large,AI21 Labs,AI21 Labs training dataset,33.51%
Qwen3 8B (Non-reasoning),Alibaba,Alibaba training dataset,33.30%
Qwen3 4B (Non-reasoning),Alibaba,Alibaba training dataset,32.96%
Kimi Linear 48B A3B Instruct,Moonshot AI,Moonshot AI training dataset,32.85%
Mistral Small 3,Mistral,Mistral training dataset,32.80%
Gemma 2 27B,Google,Google training dataset,31.65%
OLMo 2 32B,Allen Institute for AI,Allen Institute for AI training dataset,31.57%
DeepHermes 3 - Mistral 24B Preview (Non-reasoning),Nous Research,Nous Research training dataset,31.55%
Hermes 3 - Llama-3.1 70B,Nous Research,Nous Research training dataset,31.01%
Exaone 4.0 1.2B (Reasoning),LG AI Research,LG AI Research training dataset,30.86%
Llama 3 Instruct 70B,Meta,Meta training dataset,30.85%
Qwen3 1.7B (Reasoning),Alibaba,Alibaba training dataset,30.84%
Jamba 1.6 Large,AI21 Labs,AI21 Labs training dataset,30.61%
Llama 3.1 Nemotron Nano 4B v1.1 (Reasoning),NVIDIA,NVIDIA training dataset,30.54%
